Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,participantID
0,0.5,99,2,0.3833,0.2667,0.7333,0,1.9333,-0.9,-0.45,0.05,5,2D1U,1,True,0.676,0,False,left,P01
1,0.5,99,2,0.2167,0.2833,0.6833,1,1.7333,-0.9,-0.45,0.05,5,3D1U,1,True,0.8,0,False,left,P01
2,0.5,99,2,0.3333,0.4333,0.5667,2,1.9666,-0.74,-0.3667,0.1333,5,2D1U,2,False,0.875,0,False,right,P01
3,0.5,99,1,0.25,0.3833,0.6833,3,2.7166,0.8,0.4,0.9,5,lapse_rate,1,True,1.067,0,False,left,P01
4,0.5,99,2,0.4333,0.2333,0.4667,4,1.7666,-0.74,-0.3667,0.1333,5,3D1U,1,True,1.375,0,False,left,P01
5,0.5,99,1,0.3333,0.2167,0.85,5,1.95,-0.9,-0.45,0.05,5,1D3U,1,False,1.016,0,False,left,P01
6,0.5,99,1,0.2333,0.2167,0.9,6,1.9,-0.9,-0.45,0.05,5,1D2U,2,True,0.434,0,False,right,P01
7,0.5,99,2,0.3833,0.25,0.5833,7,1.7666,-0.9,-0.45,0.05,5,1D2U,1,True,0.883,0,False,left,P01
8,0.5,99,1,0.4333,0.35,0.6333,8,2.8166,0.8,0.4,0.9,5,lapse_rate,1,True,0.417,0,False,left,P01
9,0.5,99,1,0.2667,0.3667,0.8167,9,2.0001,-0.9,-0.45,0.05,5,1D3U,2,True,0.425,0,False,right,P01
10,0.5,99,1,0.3,0.25,0.4167,10,1.6834,-0.58,-0.2833,0.2167,5,3D1U,1,False,0.741,0,False,left,P01
11,0.5,99,2,0.2,0.3333,0.4333,11,1.5999,-0.74,-0.3667,0.1333,5,2D1U,1,True,0.6,0,False,left,P01
12,0.5,99,2,0.3167,0.2,0.6,12,1.75,-0.74,-0.3667,0.1333,5,1D2U,1,True,0.717,0,False,left,P01
13,0.5,99,1,0.45,0.3167,0.65,13,2.0167,-0.8,-0.4,0.1,5,lapse_rate,2,True,0.458,0,False,right,P01
14,0.5,99,1,0.4167,0.45,0.8167,14,2.4001,-0.58,-0.2833,0.2167,5,3D1U,2,True,0.65,0,False,right,P01
15,0.5,99,2,0.4,0.2,0.8333,15,2.15,-0.58,-0.2833,0.2167,5,2D1U,1,True,0.691,0,False,left,P01
